Name,Sustainable,Mercury,Description,In Season,Sources,Explanation
Aiglefin,False,low,A popular fish easily recognised by a distinctive black line running along its side. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=24, http://www.fishonline.org/fishfinder?fish=haddock, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists some haddock as ""Good Alternative"", other as ""Avoid"". The MCS shows a very mixed picture, with some Atlantic populations rated 2, and others rated 5. In conclusion, some haddock may be sustainable, but hard to identify as such. "
Anchois (Atlantique),True,low,"Small fish, known for their strong flavour when cured. ",,"http://www.fishonline.org/fishfinder?fish=anchovy, http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=108, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The MCS rates Atlantic anchovy as 2-3, and is currently evaluating other fisheries. The Monterey Bay Aquarium states that anchovy from the Black and Mediterranean seas is unsustainable. "
Anchois (Autres),False,low,"Small fish, known for their strong flavour when cured. ",,"http://www.fishonline.org/fishfinder?fish=anchovy, http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=108, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The MCS rates Atlantic anchovy as 2-3, and is currently evaluating other fisheries. The Monterey Bay Aquarium states that anchovy from the Black and Mediterranean seas is unsustainable. "
Anguille,False,?,"Long, bottom-feeding fish. Both farmed and wild caught eels are very problematic: Farming produces a lot of pollution and eel fisheries are over-exploiting stocks and causing habitat damage. Popular in sushi, but please avoid. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=20, http://www.fishonline.org/fishfinder?fish=eel","The Monterey Bay Aquarium lists eel as ""Avoid"", and the MCS lists all types of eel as 5 - very unsustainable. "
Bar rayé,True,high,"A popular fish in the US and other countries both for sports fishing and aquaculture. Both wild-caught and farmed striped bass are sustainable: Wild stocks are at high levels, and bass are farmed in tanks, preventing environmental contamination. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=65, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm",The Monterey Bay Aquarium states that striped bass is not overfished and that farmed striped bass is generally raised inland avoiding ocean pollution. 
Barramundi (États-Unis / Europe / Australie),True,?,A popular fish in Thai cuisine and in Australia. It is fished and farmed across the world. Also called Asian seabass. ,,http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=3,"The Monterey Bay Aquarium states that US and Australian barramundi is generally good to eat, as is other barramundi that is farmed in closed systems. The MCS, FishWatch and Greenpeace have no data. "
Barramundi (Production Fermée),True,?,A popular fish in Thai cuisine and in Australia. It is fished and farmed across the world. Also called Asian seabass. ,,http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=3,"The Monterey Bay Aquarium states that US and Australian barramundi is generally good to eat, as is other barramundi that is farmed in closed systems. The MCS, FishWatch and Greenpeace have no data. "
Barramundi (Autres),False,?,A popular fish in Thai cuisine and in Australia. It is fished and farmed across the world. Also called Asian seabass. ,,http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=3,"The Monterey Bay Aquarium states that US and Australian barramundi is generally good to eat, as is other barramundi that is farmed in closed systems. The MCS, FishWatch and Greenpeace have no data. "
Baudroie/Diable de mer,False,high,"A bottom-dwelling anglerfish with a wide toothy mouth. Also known as ankoh, angler  or goosefish. Monkfish are caught by bottom trawls that badly damage the seafloor and produce a lot of bycatch, or by gillnets that kill turtles and dolphins. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=34, http://www.fishonline.org/fishfinder?fish=monkfish, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates Atlantic monkfish as a good alternative, but the MCS rates it as 4. It is also on the Greenpeace red list. "
Brème/Dorade (Dorade royale - Aquaculture Bio),False,?,"Also called daurade or dorada, a popular Mediterranean fish that is unfortunately farmed in an environmentally damaging way - but organic certified Gilthead Bream is fine according to the MCS.",,"http://www.fishonline.org/fishfinder?fish=bream, http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=102","The MCS rates organic farmed gilthead bream as a 2, but other kinds of bream as a 4-5. The Monterey Bay Aquarium lists gilthead farmed in closed tanks as a Best Choice. "
Brème/Dorade (Autres),False,?,Other types of bream such as red seabream are unsustainable.,,"http://www.fishonline.org/fishfinder?fish=bream, http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=102","The MCS rates organic farmed gilthead bream as a 2, but other kinds of bream as a 4-5. The Monterey Bay Aquarium lists gilthead farmed in closed tanks as a Best Choice. "
"Calmar (Calamari de l'Inde, la Chine, la Thaïlande)",False,low,"Calamari from these countries should be avoided due to issues with management, bycatch, and habitat destruction.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=64, http://www.fishonline.org/fishfinder?fish=squid, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists US Atlantic and Californian squid as a ""Good Alternative"", but suggests avoiding trawled calamari from India, China and Thailand. The MCS is evaluating its data but previously rated squid as 2-3. "
Calmar (Autres),True,low,All other types of squid.,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=64, http://www.fishonline.org/fishfinder?fish=squid, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists US Atlantic and Californian squid as a ""Good Alternative"", but suggests avoiding trawled calamari from India, China and Thailand. The MCS is evaluating its data but previously rated squid as 2-3. "
Coque (Dragué),False,?,"Small saltwater clams with a round, ribbed shell. Avoid cockles harvested by dredging as this damages the seafloor.",,http://www.fishonline.org/fishfinder?fish=cockle,"The MCS advises against consuming dredged cockles as dredging damages the sea floor. Hand-gathered cockles are rated 2. The Monterey Bay Aquarium, FishWatch and Greenpeace have no data. "
Coque (Autres),True,?,"Small saltwater clams with a round, ribbed shell. Hand-gathered cockles are generally screened for size and are very sustainable.",,http://www.fishonline.org/fishfinder?fish=cockle,"The MCS advises against consuming dredged cockles as dredging damages the sea floor. Hand-gathered cockles are rated 2. The Monterey Bay Aquarium, FishWatch and Greenpeace have no data. "
Couteau (Bivalve),False,?,"Razor clam stocks are depleted and badly managed. They are threatened by an illegal fishing method known as ""electric fishing"", where electrodes dragged along the sea bed are used to chase them out of their burrows. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=12, http://www.fishonline.org/fishfinder?fish=clam","The Monterey Bay Aquarium lumps in razor clams along with other clams as ""Best Choice"". However, the MCS paints a different picture, rating them 3-5 depending on the method of collection. "
Crabe dormeur,True,?,"A reddish-brown crab with an oval carapace sporting a characteristic wavy ""pie crust"" edge. Stocks may be on the brink of decline. ",,http://www.fishonline.org/fishfinder?fish=brown,"The Marine Conservation Society rates pot-caught crab as 2, is evaluating some other fisheries, and raises concerns that the stock levels are showing indications of declining, and are not formally assessed. The Monterey Bay Aquarium and Greenpeace have no data. "
Crabe royal (États-Unis),True,low,"Large, red, spiky crabs. Critically overfished in Russia, where most imported crabs come from. US-sourced king crab may be OK. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=17, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates US king crab as a ""Good Alternative"", but other king crab as ""Avoid"". "
